user_id,product_id,rating,timestamp
U0000339,B000008394,3,1511598029
U0001083,B000006743,1,1571769239
U0000101,B000003917,3,1684128859
U0001696,B000009626,1,1016487897
U0000160,B000000076,4,1113759199
U0000997,B000006230,1,1137142428
U0001728,B000004673,3,1689589459
U0000814,B000009964,4,1188791686
U0000544,B000007902,3,1321643046
U0001317,B000001356,3,1285457794
U0001175,B000005903,4,1083751053
U0001480,B000008513,2,1134851208
U0001374,B000008435,4,1147369792
U0000869,B000000515,4,1407156330
U0000816,B000005452,3,1113857186
U0001750,B000009400,5,1176038045
U0001821,B000003650,2,1315096035
U0000465,B000003138,5,1696432029
U0001526,B000000013,1,1234614203
U0001081,B000005129,4,1158962384
U0001753,B000001024,4,1474745731
U0000883,B000003018,2,1422157503
U0000352,B000009032,5,1522074476
U0000954,B000004520,4,1032067993
U0001656,B000005696,3,1141879621
U0001167,B000001447,5,1413234175
U0000988,B000003026,4,1012289752
U0000655,B000006444,4,1607293138
U0001440,B000008328,1,1245680482
U0001318,B000004324,4,1147132370
U0000557,B000006085,4,1633344624
U0001518,B000009423,5,1188447996
U0000421,B000000556,5,1231150985
U0001174,B000001618,3,1085665105
U0000025,B000009959,5,1339396820
U0001840,B000000130,2,1658467995
U0000592,B000005260,5,1003245002
U0001637,B000005011,4,1626420656
U0000620,B000001174,1,1217416535
U0000279,B000002428,4,1682056870
U0000638,B000004200,4,1042423387
U0000618,B000003822,5,1070298421
U0001874,B000002815,5,1591852915
U0001193,B000008094,3,1467443943
U0001149,B000001250,4,1555040640
U0000538,B000006661,5,1361612317
U0000129,B000007184,5,1412010884
U0001651,B000003648,4,1345308259
U0001159,B000005083,4,1486582091
U0000846,B000008508,4,1558825701
U0000380,B000006379,3,1010839436
U0000680,B000009231,4,1282651841
U0000140,B000006851,4,1696411974
U0000090,B000007106,2,1346083633
U0000661,B000000534,4,1460129583
U0001910,B000005267,5,1529096006
U0000046,B000005473,4,1085019227
U0000302,B000004130,4,1400040401
U0000576,B000001588,4,1488495381
U0000196,B000004499,5,1654025233
U0000412,B000006409,4,1484107117
U0000334,B000000069,4,1684936928
U0001397,B000004573,2,1309997334
U0000797,B000001778,4,1069716636
U0000761,B000002818,5,1380867248
U0000301,B000003373,5,1591347969
U0001285,B000009154,4,1315144252
U0001925,B000001871,5,1236837788
U0001622,B000001539,2,1506725398
U0000563,B000004903,5,1653191013
U0001028,B000009766,1,1364072516
U0000725,B000003728,2,1635904444
U0001576,B000000111,2,1213328617
U0001939,B000008451,5,1196171261
U0001427,B000001397,5,1220437089
U0000678,B000004470,4,1535857611
U0000029,B000007914,5,1274169993
U0001583,B000001224,5,1417204465
U0000720,B000005322,3,1197605443
U0001723,B000009694,4,1348172702
U0000634,B000002704,5,1306908458
U0000150,B000006641,4,1449885417
U0001383,B000006847,3,1287175868
U0000955,B000004113,5,1551416710
U0001713,B000002649,4,1296532400
U0000883,B000003415,3,1651131065
U0001036,B000003245,3,1037177931
U0000109,B000004955,4,1048400354
U0001769,B000001960,4,1399648201
U0001993,B000000536,3,1522500906
U0001061,B000000734,4,1044130732
U0000806,B000005554,4,1184624423
U0001382,B000007272,5,1014490212
U0001475,B000001351,1,1462489840
U0000402,B000004890,5,1498612038
U0000691,B000000075,2,1252417017
U0000424,B000002014,5,1298454261
U0000121,B000000531,5,1294188359
U0000091,B000001204,5,1039486185
U0000026,B000008510,3,1411541660
U0000918,B000008592,5,1182299110
U0001406,B000004318,3,1063521494
U0000018,B000006559,4,1622688145
U0000335,B000009327,5,1644649627
U0001442,B000007025,5,1194165072
U0000388,B000006081,4,1581467820
U0001623,B000006484,4,1222190793
U0001924,B000005041,4,1115751198
U0000092,B000001420,3,1041318512
U0000261,B000008800,4,1549920687
U0000040,B000001433,2,1631920511
U0001832,B000007841,4,1291603568
U0001717,B000001745,5,1671949113
U0001451,B000006994,3,1590149499
U0000751,B000005361,3,1686984014
U0000047,B000004086,4,1137066015
U0001444,B000005176,4,1215645117
U0000604,B000001035,4,1251924885
U0001207,B000008823,3,1085610270
U0000255,B000008023,4,1256648966
U0000544,B000000448,3,1237980543
U0000218,B000000520,5,1642301478
U0001442,B000004572,5,1069758103
U0000101,B000001489,3,1576672061
U0001391,B000002859,5,1014321679
U0000901,B000007215,4,1122815671
U0000301,B000009967,5,1302348428
U0001609,B000000530,3,1430747426
U0001013,B000003413,5,1143907489
U0001059,B000004964,4,1114687605
U0000427,B000004277,2,1415226939
U0000134,B000000840,3,1335913814
U0001926,B000000910,3,1506740131
U0001308,B000005497,4,1012509936
U0001743,B000004616,4,1398397742
U0000576,B000008237,4,1422123770
U0000315,B000008943,4,1512431374
U0000367,B000007400,5,1601503054
U0001314,B000002422,4,1363834563
U0000238,B000005302,4,1073798682
U0000696,B000003693,5,1049633013
U0000028,B000006897,3,1486036436
U0001829,B000003982,5,1255837121
U0000204,B000003623,4,1289825294
U0001523,B000006793,4,1399411292
U0000231,B000000256,4,1327578081
U0000907,B000008647,5,1354540169
U0000854,B000000468,1,1193988637
U0000621,B000001087,5,1446129177
U0000591,B000001507,3,1219253761
U0001721,B000002353,5,1521349187
U0001869,B000002306,5,1663066955
U0000335,B000007922,1,1540987919
U0000389,B000004549,5,1178714328
U0001571,B000008216,4,1283051879
U0000051,B000009914,5,1338777254
U0001879,B000005834,4,1056111000
U0001394,B000006027,4,1068168260
U0001818,B000001276,4,1369491716
U0000536,B000007040,5,1329465006
U0000167,B000005246,4,1622774154
U0000931,B000006468,1,1085268679
U0000955,B000005878,5,1643325365
U0001820,B000006813,5,1166713370
U0000350,B000000288,2,1222877656
U0000514,B000006951,5,1526986533
U0000652,B000005716,3,1478341139
U0001347,B000001268,5,1271387959
U0001162,B000000664,5,1694667196
U0000431,B000000609,4,1514882027
U0000974,B000004875,5,1173069203
U0000827,B000003715,4,1547308229
U0000001,B000006806,5,1010243235
U0001358,B000001733,2,1661583065
